proxy,response_time,quality_score
57.129.81.201:8081,1.00,90
190.104.37.36:999,4.02,70
36.138.53.26:10019,1.20,90
123.128.12.93:9055,1.20,90
43.135.36.240:80,0.33,100
203.95.198.107:8080,0.65,100
160.251.142.232:80,0.26,100
114.215.127.92:9080,2.41,80
188.132.221.21:8080,0.75,100
101.132.134.160:8888,0.77,100
39.102.208.236:8090,3.00,70
123.141.181.1:5031,0.32,100
123.141.181.8:5031,0.34,100
123.58.255.119:19999,5.29,60
120.41.7.123:9091,0.78,100
36.138.53.26:10017,0.90,100
123.58.255.119:19998,1.15,90
222.59.173.105:45053,7.16,60
222.59.173.105:45177,6.29,60
123.141.181.6:5031,0.31,100
58.216.109.17:800,1.05,90
58.216.109.14:800,0.81,100
8.213.128.6:1234,2.29,80
222.59.173.105:45192,2.23,80
103.138.145.34:80,0.44,100
106.14.255.124:8080,0.73,100
203.3.112.2:6666,6.09,60
114.215.127.92:2080,2.42,80
47.252.81.108:8118,1.28,90
120.25.189.254:5060,2.41,80
103.210.22.17:3128,2.88,80
27.50.29.180:8080,3.79,70
103.162.16.224:8080,4.02,70
103.27.22.65:32650,2.12,80
223.16.170.103:3128,0.52,100
45.146.163.31:80,0.24,100
186.159.125.34:8080,1.06,90
59.7.246.4:80,0.31,100
147.75.34.105:443,5.66,60
109.191.155.209:8081,0.50,100
222.59.173.105:45250,3.88,70
123.141.181.53:5031,0.33,100
120.25.189.254:3128,2.40,80
103.214.109.66:80,0.17,100
116.203.107.220:80,0.88,100
39.102.209.128:13,2.42,80
123.141.181.2:5031,0.32,100
103.65.237.92:5678,0.40,100
222.59.173.105:45012,5.98,60
31.14.114.67:1081,0.70,100
222.59.173.105:45232,4.36,70
222.59.173.105:45094,4.93,70
222.59.173.105:45001,6.10,60
47.238.134.126:1080,2.43,80
103.169.133.118:8085,7.40,60
112.86.55.143:81,0.73,100
47.109.110.100:8089,2.45,80
103.231.236.239:8182,3.12,70
47.121.133.212:3129,2.41,80
106.14.104.220:34567,2.40,80
47.238.128.246:8999,2.33,80
213.87.103.76:3128,0.90,100
113.204.79.230:9091,0.72,100
103.160.68.233:8080,2.93,80
103.184.56.240:8080,2.03,80
41.92.157.70:8080,0.85,100
118.194.249.77:8080,0.30,100
152.53.107.230:80,0.81,100
198.145.118.100:8080,2.71,80
123.141.181.86:5031,0.33,100
103.197.206.97:23654,2.64,80
203.95.196.70:8080,0.46,100
47.116.210.163:3129,2.38,80
149.86.142.41:8080,4.00,70
103.151.227.130:8080,5.41,60
47.237.113.119:14,2.38,80
47.237.113.119:8118,6.03,60
168.138.147.179:3128,6.27,60
47.238.130.212:1081,2.33,80
112.204.118.221:8080,2.62,80
202.178.125.136:8080,7.13,60
47.238.128.246:1000,5.83,60
181.174.228.157:8080,7.16,60
181.174.164.221:80,0.47,100
200.39.60.34:999,2.47,80
49.205.160.117:8080,1.84,90
103.159.220.215:80,1.96,90
192.46.230.254:3128,5.47,60
41.70.10.14:8080,3.90,70
90.162.35.34:80,0.32,100
95.214.123.129:8080,1.78,90
154.19.184.154:80,0.05,100
147.75.66.235:9443,6.83,60
147.28.240.214:9401,0.39,100
31.14.114.77:1081,0.70,100
47.74.157.194:80,1.21,90
123.141.181.14:5031,0.34,100
170.239.97.99:80,1.65,90
123.141.181.3:5031,0.31,100
147.28.240.214:80,0.39,100
147.28.240.214:443,0.38,100
147.28.240.214:9443,0.45,100
147.28.240.214:9400,0.38,100
123.141.181.15:5031,0.34,100
175.110.114.216:80,0.29,100
121.43.146.222:6666,2.40,80
47.238.130.212:8888,5.50,60
118.68.172.205:16000,0.66,100
102.0.17.164:8080,7.04,60
58.186.248.95:16000,0.76,100
123.141.181.33:5031,0.32,100
103.155.190.134:1080,2.02,80
176.236.222.21:8085,1.98,90
64.110.82.7:8080,0.34,100
59.153.100.98:80,0.45,100
103.163.13.14:1111,1.69,90
45.166.93.113:999,3.12,70
91.84.99.28:80,2.37,80
123.141.181.38:5031,0.32,100
192.177.139.214:8000,4.70,70
124.193.203.41:8000,6.43,60
123.141.181.82:5031,0.33,100
115.147.8.120:8082,3.49,70
102.0.17.164:80,4.31,70
103.231.236.231:8182,4.83,70
103.172.196.221:8080,2.74,80
185.200.37.114:8080,2.46,80
34.101.88.34:3128,0.40,100
181.176.18.213:999,4.39,70
185.82.218.85:80,0.33,100
91.107.147.219:80,0.32,100
101.255.69.26:8080,1.48,90
47.238.134.126:8083,2.32,80
103.172.42.183:2525,5.80,60
49.254.107.184:28766,7.14,60
103.174.236.67:8999,6.15,60
120.77.8.130:3128,1.02,90
120.26.123.95:8010,0.78,100
5.161.133.32:80,0.13,100
66.175.219.50:3228,3.82,70
27.71.132.134:16000,2.51,80
34.101.71.166:3128,0.40,100
39.106.149.155:3128,1.24,90
103.130.116.88:8080,6.17,60
94.130.222.73:1080,0.30,100
182.253.109.29:8080,0.65,100
34.101.127.208:3128,0.40,100
203.95.196.77:8080,0.44,100
45.134.14.181:1080,0.83,100
64.69.43.232:1080,0.08,100
34.101.213.62:3128,0.39,100
47.104.198.111:8061,2.41,80
58.186.92.84:16000,3.78,70
27.71.139.254:16000,6.84,60
27.71.140.43:16000,2.73,80
47.116.181.146:12000,2.39,80
103.158.253.115:8080,4.01,70
183.80.22.67:16000,1.37,90
47.115.35.231:3128,0.75,100
14.224.76.32:8080,2.18,80
203.150.113.149:8080,2.01,80
125.163.136.177:8080,4.84,70
103.122.0.105:8181,2.75,80
58.136.169.136:8080,2.83,80
43.252.236.134:1111,6.94,60
